plot_size_sqft,building_size_sqft,num_floors,planned_duration_months,plot_shape_code,topography_code,design_complexity_score,customization_level,site_difficulty_score,kerala_district_code,construction_start_month,monsoon_exposure_score,district_risk_tier,terrain_code,rainfall_code,flood_risk_code,effective_monsoon_score,time_delay_risk
1490,3286,1,26,2,2,8,2,7,6,6,0.8444,0,2,2,2,0.8444,2
2296,1058,3,10,0,3,18,5,9,7,10,0.1778,0,0,2,0,0.1778,1
2051,710,2,29,3,2,14,4,6,8,2,0.3333,0,4,1,0,0.2333,1
2310,1982,2,28,1,1,11,3,2,9,2,0.3333,0,1,2,0,0.3333,1
4753,453,3,10,0,1,11,2,3,6,10,0.1778,0,4,2,0,0.1778,1
4049,2531,1,11,3,2,6,1,5,1,2,0.3333,0,1,2,0,0.3333,1
4874,3179,5,6,2,2,18,3,6,10,7,0.6778,0,2,2,1,0.6778,2
1139,611,5,13,1,3,18,5,7,10,1,0.1667,0,2,2,1,0.1667,2
3943,1328,5,23,0,2,18,4,4,1,6,0.8444,0,3,2,2,0.8444,2
2350,3945,3,15,2,2,10,1,7,6,4,0.6667,0,3,2,2,0.6667,2
1674,1040,3,21,3,0,10,2,3,5,5,0.7556,2,5,3,0,0.9823,2
3816,1054,1,10,3,3,15,5,9,1,11,0.0889,0,1,2,0,0.0889,1
1993,3778,2,11,1,3,15,4,9,2,2,0.3333,1,1,2,1,0.3333,2
1571,3084,1,16,0,2,12,4,4,10,12,0.0,0,0,2,0,0.0,1
4539,1742,2,9,0,3,15,4,6,13,4,0.6667,0,2,2,1,0.6667,2
1052,1407,2,25,2,3,7,0,7,10,8,0.5111,0,0,2,0,0.5111,2
1331,701,5,32,0,1,17,3,5,3,11,0.0889,1,0,2,1,0.0889,2
628,3344,4,11,0,0,16,4,1,7,4,0.6667,0,2,2,1,0.6667,2
2223,3533,3,5,1,1,7,0,4,6,10,0.1778,0,0,2,1,0.1778,1
3714,632,4,13,0,1,15,3,2,6,3,0.5,0,2,2,2,0.5,2
896,2824,3,11,0,0,6,0,1,9,5,0.7556,0,1,2,0,0.7556,2
3084,1497,4,11,2,2,14,2,7,3,1,0.1667,1,3,2,2,0.1667,2
925,3534,4,11,3,2,12,1,7,4,7,0.6778,1,5,3,0,0.8811,2
2187,852,3,10,0,1,11,2,2,12,1,0.1667,0,1,2,0,0.1667,1
1773,3018,4,23,2,1,9,0,3,11,4,0.6667,2,1,2,0,0.6667,2
1955,1594,3,17,0,1,15,4,2,4,5,0.7556,1,4,2,0,0.7556,2
3371,1703,3,15,2,2,18,5,4,12,11,0.0889,0,4,2,0,0.0889,1
843,2139,1,23,3,1,9,3,3,4,6,0.8444,1,4,2,0,0.8444,2
2789,2374,1,13,2,0,10,4,2,13,10,0.1778,0,0,2,0,0.1778,1
1196,2881,4,17,2,1,18,5,4,0,1,0.1667,0,4,2,0,0.1667,1
1448,3397,5,6,0,0,14,2,1,10,12,0.0,0,4,2,0,0.0,2
4133,3516,4,10,2,2,10,0,7,6,9,0.3444,0,0,2,1,0.3444,2
3945,3657,3,25,2,1,9,1,5,7,10,0.1778,0,0,2,0,0.1778,1
4234,1962,1,15,0,3,15,5,9,6,4,0.6667,0,4,2,0,0.6667,2
2951,3445,3,17,3,2,18,5,5,6,11,0.0889,0,2,2,2,0.0889,1
2704,3983,4,14,3,1,15,3,4,9,5,0.7556,0,1,2,0,0.7556,2
1682,2687,4,13,0,1,13,2,5,4,11,0.0889,1,1,2,0,0.0889,2
3476,3520,4,13,3,2,10,0,4,1,10,0.1778,0,2,2,1,0.1778,2
1953,2456,2,6,3,2,10,2,4,6,6,0.8444,0,2,2,2,0.8444,2
2925,1305,1,12,3,2,8,2,4,0,11,0.0889,0,2,1,1,0.0622,0
3320,3979,2,13,2,2,8,1,6,10,10,0.1778,0,1,2,0,0.1778,1
3272,3999,3,35,1,3,17,4,6,6,9,0.3444,0,3,2,2,0.3444,2
3354,3883,5,14,0,1,15,2,5,6,3,0.5,0,2,2,2,0.5,2
3450,3194,1,26,2,2,8,2,5,0,11,0.0889,0,2,1,1,0.0622,0
4925,1917,1,6,1,0,10,4,3,0,10,0.1778,0,1,1,0,0.1245,1
1685,3604,4,4,0,0,14,3,0,4,8,0.5111,1,5,3,0,0.6644,2
4926,1368,2,18,3,1,5,0,2,9,12,0.0,0,0,2,1,0.0,0
4164,2877,4,36,2,1,11,1,5,0,6,0.8444,0,1,1,0,0.5911,2
2726,3384,3,18,3,3,13,2,6,8,2,0.3333,0,0,0,0,0.1333,1
3149,1471,5,17,0,0,10,0,0,11,12,0.0,2,5,3,0,0.0,2
1623,867,4,14,2,2,16,3,6,10,6,0.8444,0,0,2,0,0.8444,2
2311,909,3,7,3,2,18,5,5,12,1,0.1667,0,0,2,0,0.1667,1
3465,3084,5,35,1,0,18,5,1,3,12,0.0,1,2,2,2,0.0,2
4800,3104,1,12,0,1,9,3,3,9,2,0.3333,0,0,2,1,0.3333,1
1616,2414,2,28,2,3,7,0,7,10,6,0.8444,0,2,2,1,0.8444,2
4651,473,3,9,2,3,9,0,9,2,5,0.7556,1,1,2,1,0.7556,2
2773,907,5,28,1,2,14,1,5,3,11,0.0889,1,0,2,1,0.0889,2
3735,2620,5,20,1,3,18,5,7,10,10,0.1778,0,0,2,0,0.1778,1
3231,2353,2,18,3,2,10,2,6,1,6,0.8444,0,4,2,0,0.8444,2
1225,2917,1,19,0,1,13,5,5,7,8,0.5111,0,4,3,0,0.6644,2
4609,3453,2,24,0,3,9,1,9,0,2,0.3333,0,1,1,0,0.2333,1
4885,977,4,35,2,1,15,3,5,0,7,0.6778,0,1,1,0,0.4745,2
977,2792,3,6,0,2,8,0,4,6,2,0.3333,0,0,2,1,0.3333,2
1705,2165,4,17,1,3,17,3,7,8,4,0.6667,0,0,0,0,0.2667,2
4335,1189,1,24,0,2,4,0,7,8,4,0.6667,0,1,1,0,0.4667,1
2710,642,3,7,3,1,17,5,5,10,3,0.5,0,4,2,0,0.5,2
969,3187,3,4,0,0,14,4,3,3,6,0.8444,1,2,2,2,0.8444,2
4727,2491,4,30,1,3,15,2,9,6,5,0.7556,0,1,2,0,0.7556,2
3419,3402,4,25,0,2,18,4,4,7,2,0.3333,0,2,2,1,0.3333,2
3239,1694,2,19,0,3,15,4,9,0,8,0.5111,0,2,1,1,0.3578,2
2580,1861,1,17,2,0,12,5,0,11,5,0.7556,2,5,3,0,0.9823,2
4529,1894,2,7,2,3,11,2,8,1,1,0.1667,0,3,2,2,0.1667,2
3086,1001,2,10,2,3,9,1,6,13,12,0.0,0,4,2,0,0.0,1
2326,3979,4,5,1,0,10,1,1,8,12,0.0,0,0,0,0,0.0,1
1949,1154,1,25,3,3,7,1,7,4,2,0.3333,1,4,2,0,0.3333,2
1276,3172,5,13,3,2,16,2,7,4,11,0.0889,1,1,2,0,0.0889,2
4921,3503,3,13,1,2,16,4,5,9,2,0.3333,0,1,2,0,0.3333,2
4028,1023,1,18,1,2,4,0,4,0,2,0.3333,0,2,1,1,0.2333,1
1900,1958,5,30,1,0,18,4,3,0,9,0.3444,0,1,1,0,0.2411,1
4589,1206,4,8,3,3,13,1,8,10,2,0.3333,0,4,2,0,0.3333,2
2819,761,2,19,3,1,15,5,5,0,8,0.5111,0,2,1,1,0.3578,2
1063,1778,5,26,3,0,12,1,1,0,10,0.1778,0,2,1,1,0.1245,1
1394,3467,4,16,3,3,18,5,7,11,9,0.3444,2,5,3,0,0.4477,2
1139,3303,4,19,0,3,11,0,8,11,5,0.7556,2,5,3,0,0.9823,2
4294,3996,3,14,3,1,9,1,2,7,6,0.8444,0,0,2,0,0.8444,2
1443,1271,2,28,2,2,8,1,4,11,9,0.3444,2,5,3,0,0.4477,2
1886,3109,1,16,3,3,5,0,9,9,7,0.6778,0,4,2,0,0.6778,2
4054,606,4,8,1,2,16,3,4,3,8,0.5111,1,3,2,2,0.5111,2
4464,2998,4,12,1,3,18,4,8,0,1,0.1667,0,1,1,0,0.1167,2
3138,3694,3,22,0,0,14,4,0,1,11,0.0889,0,1,2,0,0.0889,1
1562,1729,1,12,0,2,12,4,4,12,11,0.0889,0,0,2,0,0.0889,0
1605,3049,2,19,1,3,7,0,6,0,10,0.1778,0,0,1,0,0.1245,1
4863,2979,5,14,2,0,12,1,0,8,7,0.6778,0,1,1,0,0.4745,2
1774,1534,3,17,3,3,11,1,7,3,10,0.1778,1,2,2,2,0.1778,2
2054,3028,2,32,1,0,6,1,2,6,2,0.3333,0,1,2,0,0.3333,1
4180,2988,2,18,2,2,16,5,4,1,11,0.0889,0,4,2,0,0.0889,1
2393,1168,4,26,1,2,18,5,6,0,4,0.6667,0,1,1,0,0.4667,2
3347,415,5,18,0,1,11,0,4,6,10,0.1778,0,1,2,0,0.1778,1
2169,785,4,20,1,1,13,2,3,7,6,0.8444,0,2,2,1,0.8444,2
3594,2568,5,16,2,3,13,0,6,0,5,0.7556,0,2,1,1,0.5289,2
2798,3606,3,17,1,1,17,5,2,0,5,0.7556,0,4,2,0,0.7556,2
4806,1996,4,26,0,0,8,0,0,6,2,0.3333,0,2,2,2,0.3333,1
2417,902,2,6,0,2,6,0,6,12,2,0.3333,0,0,2,0,0.3333,1
856,1557,5,11,3,2,18,4,7,6,8,0.5111,0,0,2,1,0.5111,2
1381,2291,5,10,0,3,15,1,8,0,5,0.7556,0,2,1,1,0.5289,2
4780,514,4,29,0,0,10,1,1,8,2,0.3333,0,0,0,0,0.1333,1
4920,1764,2,4,2,1,9,2,5,10,11,0.0889,0,4,2,0,0.0889,1
2041,3280,4,22,1,2,14,2,6,1,4,0.6667,0,2,2,1,0.6667,2
827,2514,2,10,0,1,7,1,4,1,12,0.0,0,4,2,0,0.0,1
2544,1356,1,19,0,3,7,1,6,2,9,0.3444,1,0,2,1,0.3444,2
2426,2742,4,17,1,1,18,5,2,10,2,0.3333,0,4,2,0,0.3333,2
1787,3332,2,19,1,2,16,5,7,1,7,0.6778,0,1,2,0,0.6778,2
1158,2547,1,6,1,2,4,0,5,12,8,0.5111,0,2,2,1,0.5111,2
4530,1050,2,17,3,3,9,1,9,2,12,0.0,1,4,2,0,0.0,1
2876,1575,2,28,3,2,12,3,5,12,9,0.3444,0,2,2,1,0.3444,2
3717,3038,5,36,2,1,15,2,5,2,6,0.8444,1,4,2,0,0.8444,2
2501,3401,1,17,2,2,8,2,4,1,6,0.8444,0,1,2,0,0.8444,2
606,1139,3,21,2,2,10,1,4,0,10,0.1778,0,1,1,0,0.1245,1
2093,1387,3,31,1,1,13,3,5,8,6,0.8444,0,1,1,0,0.5911,2
1896,2629,2,6,2,2,16,5,4,10,3,0.5,0,4,2,0,0.5,2
4463,3758,3,22,0,0,8,1,1,6,12,0.0,0,3,2,2,0.0,1
1256,2456,2,12,1,0,6,1,0,10,2,0.3333,0,2,2,1,0.3333,2
3515,1088,2,18,3,0,14,5,3,6,10,0.1778,0,1,2,0,0.1778,0
4319,2960,5,5,1,2,18,5,5,6,12,0.0,0,2,2,2,0.0,2
2551,2894,1,17,3,3,5,0,9,9,6,0.8444,0,0,2,1,0.8444,2
1770,678,3,24,3,2,8,0,6,0,7,0.6778,0,1,1,0,0.4745,2
4923,701,2,6,3,1,15,5,2,11,2,0.3333,2,5,3,0,0.4333,2
3507,2688,2,8,2,1,9,2,3,2,12,0.0,1,5,3,0,0.0,2
4387,1772,3,34,1,3,13,2,7,10,3,0.5,0,4,2,0,0.5,2
3229,1384,5,15,2,3,13,0,6,9,9,0.3444,0,2,2,1,0.3444,2
1633,1760,3,10,2,3,17,4,9,0,7,0.6778,0,0,1,0,0.4745,2
862,800,2,36,0,0,8,2,0,4,12,0.0,1,4,2,0,0.0,1
2692,3544,5,11,1,3,18,5,6,5,6,0.8444,2,4,3,0,1.0,2
1741,2709,1,19,0,1,7,2,5,12,3,0.5,0,1,2,0,0.5,1
4020,3193,1,25,3,2,12,4,7,8,2,0.3333,0,0,0,0,0.1333,1
4205,2110,4,17,2,0,8,0,1,3,11,0.0889,1,3,2,2,0.0889,2
1095,425,3,34,1,1,13,3,4,0,7,0.6778,0,1,1,0,0.4745,2
2795,971,2,14,0,2,10,2,6,6,2,0.3333,0,2,2,2,0.3333,1
3627,3893,5,13,0,0,12,1,0,13,1,0.1667,0,2,2,1,0.1667,2
877,2420,2,18,0,0,4,0,1,7,8,0.5111,0,4,3,0,0.6644,2
2697,3382,4,26,1,1,13,2,5,7,9,0.3444,0,0,2,0,0.3444,2
3169,2946,5,10,0,2,14,1,5,5,12,0.0,2,5,3,0,0.0,2
2679,3268,4,12,0,2,12,1,6,0,10,0.1778,0,2,1,1,0.1245,2
3154,2333,1,14,2,2,12,4,4,7,12,0.0,0,1,2,0,0.0,1
1032,991,1,13,0,0,4,1,0,7,10,0.1778,0,0,2,0,0.1778,0
960,3210,1,13,0,2,12,4,7,3,6,0.8444,1,2,2,2,0.8444,2
4498,2814,4,14,3,2,16,3,4,9,10,0.1778,0,1,2,0,0.1778,2
3662,1742,4,6,2,0,14,3,2,7,2,0.3333,0,2,2,1,0.3333,2
3327,2828,4,19,2,3,13,1,7,4,4,0.6667,1,5,3,0,0.8667,2
3400,2703,2,20,3,0,8,2,0,11,8,0.5111,2,5,3,0,0.6644,2
728,560,1,27,2,2,10,3,6,6,5,0.7556,0,2,2,2,0.7556,2
3040,1506,2,10,3,2,14,4,5,9,6,0.8444,0,0,2,1,0.8444,2
2797,1329,3,36,2,3,9,0,9,6,11,0.0889,0,3,2,2,0.0889,1
3398,2007,5,7,2,0,18,4,3,7,11,0.0889,0,0,2,0,0.0889,1
3174,1542,5,16,0,3,18,4,7,11,1,0.1667,2,5,3,0,0.2167,2
712,1636,4,13,0,0,18,5,0,11,12,0.0,2,5,3,0,0.0,2
2571,789,1,35,2,2,12,4,4,7,4,0.6667,0,2,2,1,0.6667,2
3202,1663,5,7,3,2,16,2,6,0,5,0.7556,0,1,1,0,0.5289,2
4641,2179,3,25,1,0,12,3,2,6,2,0.3333,0,2,2,2,0.3333,1
3989,1623,5,22,3,3,18,3,9,9,8,0.5111,0,2,2,1,0.5111,2
3021,435,4,12,3,0,12,2,3,0,6,0.8444,0,1,1,0,0.5911,2
3157,2635,1,30,3,0,10,4,2,11,1,0.1667,2,5,3,0,0.2167,2
909,2998,1,33,3,3,13,4,8,0,2,0.3333,0,2,1,1,0.2333,1
4640,1715,2,17,1,2,14,4,6,11,5,0.7556,2,4,3,0,0.9823,2
2867,1772,1,25,3,2,10,3,6,9,12,0.0,0,0,2,1,0.0,0
3406,3107,3,17,0,3,18,5,7,0,3,0.5,0,1,1,0,0.35,2
2664,3792,2,18,2,2,14,4,6,13,3,0.5,0,2,2,1,0.5,2
2061,3029,3,23,2,1,17,5,5,5,1,0.1667,2,5,3,0,0.2167,2
3018,763,2,5,3,3,9,1,6,6,10,0.1778,0,3,2,2,0.1778,1
2042,1728,4,27,0,1,11,1,4,1,5,0.7556,0,4,2,0,0.7556,2
2562,2531,2,9,2,1,9,2,5,13,12,0.0,0,0,2,0,0.0,1
2582,1791,1,18,2,1,11,4,5,6,11,0.0889,0,4,2,0,0.0889,0
2115,3093,5,17,3,1,11,0,2,5,5,0.7556,2,4,3,0,0.9823,2
4818,2152,3,10,3,3,11,1,8,0,6,0.8444,0,4,2,0,0.8444,2
2496,2508,2,17,0,1,7,1,3,8,8,0.5111,0,0,0,0,0.2044,1
3256,1553,3,36,0,3,15,3,9,9,7,0.6778,0,1,2,0,0.6778,2
3735,2209,3,11,1,0,12,3,2,0,4,0.6667,0,2,1,1,0.4667,2
735,3843,2,21,1,3,17,5,6,0,7,0.6778,0,1,1,0,0.4745,2
1784,713,4,31,2,2,14,2,6,8,9,0.3444,0,1,1,0,0.2411,1
4259,3497,3,35,3,3,9,0,8,1,9,0.3444,0,2,2,1,0.3444,2
1215,2324,1,28,0,3,5,0,7,6,11,0.0889,0,2,2,2,0.0889,1
2551,673,2,36,3,1,11,3,2,12,10,0.1778,0,0,2,0,0.1778,0
3318,2102,5,33,1,0,14,2,3,10,8,0.5111,0,0,2,0,0.5111,2
1300,1310,4,12,3,3,13,1,7,9,11,0.0889,0,4,2,0,0.0889,1
3218,3500,5,28,1,2,18,3,5,0,3,0.5,0,1,1,0,0.35,2
4847,860,4,33,0,0,18,5,1,0,9,0.3444,0,4,2,0,0.3444,2
2022,2419,1,10,3,3,11,3,7,0,5,0.7556,0,2,1,1,0.5289,2
705,1632,3,10,3,2,14,3,5,6,8,0.5111,0,1,2,0,0.5111,2
2351,1504,1,26,3,0,2,0,2,3,2,0.3333,1,0,2,1,0.3333,1
3016,784,3,25,3,1,7,0,3,11,11,0.0889,2,4,3,0,0.1156,2
3453,3853,1,10,0,0,2,0,1,0,3,0.5,0,2,1,1,0.35,2
1692,993,1,23,0,0,8,3,2,1,3,0.5,0,3,2,2,0.5,2
2979,1352,5,27,3,3,18,5,7,8,3,0.5,0,1,1,0,0.35,2
3229,3358,5,16,2,0,18,4,1,10,12,0.0,0,0,2,0,0.0,1
1101,1380,3,15,1,1,13,3,5,1,1,0.1667,0,2,2,1,0.1667,1
1901,1744,4,16,3,3,18,5,8,2,3,0.5,1,1,2,1,0.5,2
910,2160,4,17,1,2,18,5,6,8,5,0.7556,0,0,0,0,0.3022,2
1798,3101,3,36,0,2,8,0,5,10,10,0.1778,0,4,2,0,0.1778,1
3931,512,3,10,2,1,9,1,3,3,8,0.5111,1,2,2,2,0.5111,2
975,3126,2,10,1,3,15,4,7,7,2,0.3333,0,1,2,0,0.3333,2
2310,1560,2,11,1,0,10,3,1,0,5,0.7556,0,2,1,1,0.5289,2
1972,1459,4,27,3,0,18,5,0,4,9,0.3444,1,3,2,2,0.3444,2
3572,2823,3,35,3,2,8,0,5,7,2,0.3333,0,1,2,0,0.3333,1
3484,2679,3,12,0,3,11,1,6,3,5,0.7556,1,3,2,2,0.7556,2
1361,748,5,26,3,1,15,2,5,2,5,0.7556,1,1,2,1,0.7556,2
3743,2403,4,14,2,2,18,4,6,9,11,0.0889,0,4,2,0,0.0889,2
4038,1449,3,16,0,1,17,5,5,4,11,0.0889,1,4,2,0,0.0889,1
2824,492,4,12,2,2,16,3,5,9,2,0.3333,0,1,2,0,0.3333,2
2999,2265,4,22,2,0,12,2,2,2,1,0.1667,1,4,2,0,0.1667,2
1822,3171,4,27,3,0,18,5,0,6,2,0.3333,0,4,2,0,0.3333,1
1104,1050,4,18,3,2,10,0,7,12,9,0.3444,0,4,2,0,0.3444,2
2371,419,2,32,3,3,15,4,8,7,1,0.1667,0,0,2,0,0.1667,1
3687,2354,4,36,3,0,18,5,1,3,9,0.3444,1,1,2,1,0.3444,2
4644,3786,3,6,0,2,12,2,5,8,3,0.5,0,0,0,0,0.2,2
4914,2008,5,12,2,0,12,1,3,9,1,0.1667,0,4,2,0,0.1667,2
646,1581,4,20,2,1,15,3,2,6,8,0.5111,0,0,2,1,0.5111,2
2535,2970,1,24,2,3,15,5,7,9,6,0.8444,0,2,2,1,0.8444,2
2740,3981,2,10,2,3,13,3,6,6,5,0.7556,0,0,2,1,0.7556,2
2806,711,5,12,3,0,14,2,0,7,10,0.1778,0,1,2,0,0.1778,1
1039,2237,2,7,1,1,9,2,5,8,10,0.1778,0,0,0,0,0.0711,1
3162,3835,4,28,3,3,18,5,8,6,2,0.3333,0,2,2,2,0.3333,2
3609,2145,5,18,1,3,18,4,6,11,5,0.7556,2,5,3,0,0.9823,2
1665,3489,3,28,1,3,15,3,6,12,7,0.6778,0,0,2,0,0.6778,2
2542,3521,5,13,3,2,12,0,6,1,2,0.3333,0,3,2,2,0.3333,2
4692,511,5,18,2,3,18,4,6,6,7,0.6778,0,3,2,2,0.6778,2
1602,1286,1,14,1,2,10,3,4,6,6,0.8444,0,1,2,0,0.8444,2
2197,457,4,9,1,0,18,5,1,0,4,0.6667,0,1,1,0,0.4667,2
2199,1379,3,9,2,2,18,5,7,8,6,0.8444,0,0,0,0,0.3378,2
2454,3287,5,22,1,2,18,3,7,0,7,0.6778,0,1,1,0,0.4745,2
857,1175,1,5,2,3,13,4,6,7,7,0.6778,0,2,2,1,0.6778,2
812,3487,5,8,3,1,13,1,2,2,9,0.3444,1,0,2,1,0.3444,2
1761,2360,1,23,0,2,6,1,4,9,12,0.0,0,4,2,0,0.0,1
685,3114,4,26,0,3,15,2,6,4,1,0.1667,1,3,2,2,0.1667,2
1682,1996,2,13,2,0,14,5,3,6,2,0.3333,0,1,2,0,0.3333,1
3354,3956,2,18,3,0,12,4,1,2,11,0.0889,1,0,2,1,0.0889,1
2049,3649,5,15,2,0,18,5,1,12,12,0.0,0,1,2,0,0.0,1
1109,1156,3,14,2,2,16,4,6,8,12,0.0,0,0,0,0,0.0,0
889,3700,5,22,3,2,18,4,7,4,9,0.3444,1,0,2,1,0.3444,2
2515,3642,1,19,3,0,8,3,1,12,4,0.6667,0,4,2,0,0.6667,2
1514,1836,4,22,1,0,14,3,2,6,5,0.7556,0,2,2,2,0.7556,2
3133,2979,1,14,0,1,7,2,4,13,11,0.0889,0,2,2,1,0.0889,1
891,3465,1,25,0,2,6,1,6,12,3,0.5,0,4,2,0,0.5,2
3884,743,5,18,2,1,18,5,3,4,10,0.1778,1,1,2,0,0.1778,1
2891,2381,4,27,1,1,17,4,3,7,9,0.3444,0,4,3,0,0.4477,2
1570,3999,4,33,1,3,15,2,6,7,7,0.6778,0,0,2,0,0.6778,2
2128,686,4,17,1,3,17,3,8,3,12,0.0,1,3,2,2,0.0,2
842,1059,5,20,2,0,18,4,2,9,12,0.0,0,1,2,0,0.0,1
3657,1069,1,25,2,1,3,0,2,11,2,0.3333,2,5,3,0,0.4333,2
4873,3653,4,36,1,3,18,4,9,7,5,0.7556,0,1,2,0,0.7556,2
1193,3009,1,19,2,1,9,3,5,3,12,0.0,1,2,2,2,0.0,1
4972,861,1,19,0,1,5,1,5,3,9,0.3444,1,3,2,2,0.3444,2
1257,2942,1,36,2,1,11,4,5,9,6,0.8444,0,2,2,1,0.8444,2
926,522,2,21,1,3,9,1,7,6,11,0.0889,0,2,2,2,0.0889,1
2337,2668,1,13,3,3,15,5,9,8,10,0.1778,0,4,1,0,0.1245,1
4793,1731,2,15,3,3,13,3,9,4,10,0.1778,1,5,3,0,0.2311,2
3253,1607,3,11,3,0,6,0,3,9,11,0.0889,0,4,2,0,0.0889,1
2280,491,4,4,1,2,10,0,7,6,2,0.3333,0,0,2,1,0.3333,2
1730,3679,5,10,0,3,13,0,7,0,3,0.5,0,1,1,0,0.35,2
1523,1765,4,16,2,1,15,3,5,6,6,0.8444,0,1,2,0,0.8444,2
3606,3935,5,32,0,2,18,5,6,6,2,0.3333,0,4,2,0,0.3333,1
1667,1701,3,34,2,2,16,4,5,0,8,0.5111,0,1,1,0,0.3578,2
3081,1839,4,5,1,0,10,1,2,0,12,0.0,0,1,1,0,0.0,1
817,2850,1,28,3,0,4,1,3,5,9,0.3444,2,5,3,0,0.4477,2
825,878,3,27,2,3,13,2,9,0,9,0.3444,0,1,1,0,0.2411,1
2960,579,5,11,1,1,13,1,3,8,4,0.6667,0,4,1,0,0.4667,2
2165,994,3,18,2,1,17,5,5,8,7,0.6778,0,4,1,0,0.4745,2
652,656,4,13,1,3,18,5,9,1,3,0.5,0,1,2,0,0.5,2
3549,3288,2,13,1,1,9,2,3,11,12,0.0,2,5,3,0,0.0,2
3403,3046,4,27,1,1,18,5,3,10,3,0.5,0,0,2,0,0.5,2
3868,777,1,11,1,1,13,5,2,0,12,0.0,0,4,2,0,0.0,1
3119,540,3,13,3,3,11,1,8,4,3,0.5,1,1,2,0,0.5,2
4045,664,5,11,1,3,17,2,8,8,11,0.0889,0,0,0,0,0.0356,1
3367,1347,1,18,1,1,7,2,2,11,11,0.0889,2,5,3,0,0.1156,1
4192,3183,5,18,1,0,12,1,0,12,12,0.0,0,2,2,1,0.0,1
4039,1782,4,9,2,0,18,5,3,6,2,0.3333,0,1,2,0,0.3333,2
1107,929,5,24,0,1,11,0,5,2,7,0.6778,1,4,2,0,0.6778,2
4574,1744,4,16,3,3,13,1,6,6,10,0.1778,0,3,2,2,0.1778,2
2480,3406,1,14,1,2,4,0,5,12,4,0.6667,0,4,2,0,0.6667,2
2138,2717,1,16,1,2,8,2,6,7,10,0.1778,0,0,2,0,0.1778,0
1663,1199,5,23,3,0,16,3,1,2,4,0.6667,1,0,2,1,0.6667,2
2153,913,1,28,1,1,3,0,5,11,1,0.1667,2,5,3,0,0.2167,2
2356,3200,4,5,0,0,16,4,3,6,9,0.3444,0,0,2,1,0.3444,2
857,900,1,29,3,3,5,0,8,10,8,0.5111,0,4,2,0,0.5111,2
887,2086,5,15,2,1,11,0,2,11,12,0.0,2,5,3,0,0.0,2
4779,881,4,34,3,1,18,5,4,6,12,0.0,0,4,2,0,0.0,1
1791,1336,4,15,1,1,9,0,5,11,12,0.0,2,5,3,0,0.0,2
896,2426,5,10,0,0,14,2,3,10,1,0.1667,0,2,2,1,0.1667,2
1253,2868,3,16,2,0,12,3,2,4,10,0.1778,1,4,2,0,0.1778,2
4961,3459,1,18,2,3,9,2,7,1,3,0.5,0,4,2,0,0.5,2
3160,1327,1,7,3,2,6,1,6,7,9,0.3444,0,2,2,1,0.3444,1
1554,884,2,24,1,1,15,5,5,1,5,0.7556,0,1,2,0,0.7556,2
1584,1969,5,18,1,1,11,0,4,7,1,0.1667,0,0,2,0,0.1667,1
4274,1162,2,23,2,3,13,3,6,0,6,0.8444,0,0,1,0,0.5911,2
3214,3306,4,28,3,2,16,3,7,8,7,0.6778,0,1,1,0,0.4745,2
4744,2567,2,6,3,0,6,1,3,7,3,0.5,0,2,2,1,0.5,2
2206,1955,5,12,2,2,12,0,5,6,4,0.6667,0,0,2,1,0.6667,2
3571,3877,4,18,3,1,9,0,3,1,12,0.0,0,4,2,0,0.0,1
2069,1004,2,22,2,2,14,4,7,3,11,0.0889,1,3,2,2,0.0889,2
2865,3437,2,11,0,3,17,5,9,4,6,0.8444,1,4,2,0,0.8444,2
2492,1193,3,19,0,3,9,0,9,0,12,0.0,0,1,1,0,0.0,1
3591,2784,2,18,2,3,13,3,6,8,3,0.5,0,0,0,0,0.2,1
1153,1518,4,23,0,0,10,1,0,0,12,0.0,0,4,2,0,0.0,1
3201,948,1,16,0,1,3,0,4,5,10,0.1778,2,5,3,0,0.2311,2
2757,3671,5,20,0,3,18,4,6,7,6,0.8444,0,2,2,1,0.8444,2
2205,2408,1,29,0,2,4,0,7,1,12,0.0,0,3,2,2,0.0,1
4200,2059,5,26,2,1,11,0,5,7,11,0.0889,0,2,2,1,0.0889,1
1669,1796,4,18,3,0,18,5,1,6,4,0.6667,0,1,2,0,0.6667,2
2416,2017,2,25,3,0,6,1,0,12,4,0.6667,0,4,2,0,0.6667,2
1015,994,3,20,1,3,17,4,7,7,8,0.5111,0,0,2,0,0.5111,2
4988,3213,4,10,3,2,18,4,5,10,9,0.3444,0,1,2,0,0.3444,2
4458,1251,2,15,1,1,7,1,2,10,3,0.5,0,4,2,0,0.5,2
1588,2425,1,18,0,0,2,0,2,7,2,0.3333,0,0,2,0,0.3333,1
4762,887,1,23,1,1,3,0,2,10,5,0.7556,0,2,2,1,0.7556,2
3023,1293,1,18,3,3,11,3,9,0,5,0.7556,0,4,2,0,0.7556,2
738,2739,5,20,0,3,13,0,7,12,3,0.5,0,2,2,1,0.5,2
902,2828,1,6,2,3,7,1,8,7,7,0.6778,0,2,2,1,0.6778,2
3894,2683,5,14,3,3,18,4,7,0,2,0.3333,0,2,1,1,0.2333,2
734,1219,3,20,0,1,17,5,3,7,2,0.3333,0,1,2,0,0.3333,1
4377,2805,1,18,1,3,15,5,7,10,4,0.6667,0,2,2,1,0.6667,2
